PERMNO,date,TICKER,VOL,RET,ALTPRC,RETX
17778,1976-11-30,BKHT,,0.154412,-78.50000,0.154412
17778,1976-12-31,BKHT,,0.146497,-90.00000,0.146497
17778,1977-01-31,BKHT,,,-94.00000,
17778,1977-02-28,BKHT,,0.000000,-90.00000,0.000000
17778,1977-03-31,BKHT,,0.077778,-97.00000,0.077778
17778,1977-04-29,BKHT,,-0.010309,-96.00000,-0.010309
17778,1977-05-31,BKHT,,0.062500,-102.00000,0.062500
17778,1977-06-30,BKHT,,0.000000,-102.00000,0.000000
17778,1977-07-29,BKHT,,0.000000,-102.00000,0.000000
17778,1977-08-31,BKHT,,0.019608,-104.00000,0.019608
17778,1977-09-30,BKHT,,0.043269,-108.50000,0.043269
17778,1977-10-31,BKHT,,0.041475,-113.00000,0.041475
17778,1977-11-30,BKHT,,0.088496,-123.00000,0.088496
17778,1977-12-30,BKHT,,0.150407,-141.50000,0.150407
17778,1978-01-31,BKHT,,-0.031802,-137.00000,-0.031802
17778,1978-02-28,BKHT,,0.003650,-137.50000,0.003650
17778,1978-03-31,BKHT,,,-143.50000,
17778,1978-04-28,BKHT,,0.105455,-152.00000,0.105455
17778,1978-05-31,BKHT,,0.151316,-175.00000,0.151316
17778,1978-06-30,BKHT,,-0.028571,-170.00000,-0.028571
17778,1978-07-31,BKHT,,0.000000,-170.00000,0.000000
17778,1978-08-31,BKHT,,0.044118,-177.50000,0.044118
17778,1978-09-29,BKHT,,0.000000,-177.50000,0.000000
17778,1978-10-31,BKHT,,0.061972,-188.50000,0.061972
17778,1978-11-30,BKHT,,-0.092838,-171.00000,-0.092838
17778,1978-12-29,BKHT,,-0.081871,-157.00000,-0.081871
17778,1979-01-31,BKHT,,0.019108,-160.00000,0.019108
17778,1979-02-28,BKHT,,0.018750,-163.00000,0.018750
17778,1979-03-30,BKHT,,0.147239,-187.00000,0.147239
17778,1979-04-30,BKHT,,0.037433,-194.00000,0.037433
17778,1979-05-31,BKHT,,,-205.00000,
17778,1979-06-29,BKHT,,0.198454,-232.50000,0.198454
17778,1979-07-31,BKHT,,0.354839,-315.00000,0.354839
17778,1979-08-31,BKHT,,0.126984,-355.00000,0.126984
17778,1979-09-28,BKHT,,-0.028169,-345.00000,-0.028169
17778,1979-10-31,BKHT,,-0.173913,-285.00000,-0.173913
17778,1979-11-30,BKHT,,0.122807,-320.00000,0.122807
17778,1979-12-31,BKHT,,0.031250,-330.00000,0.031250
17778,1980-01-31,BKHT,,0.045455,-345.00000,0.045455
17778,1980-02-29,BKHT,,0.000000,-345.00000,0.000000
17778,1980-03-31,BKHT,,-0.217391,-270.00000,-0.217391
17778,1980-04-30,BKHT,,0.074074,-290.00000,0.074074
17778,1980-05-30,BKHT,,0.137931,-330.00000,0.137931
17778,1980-06-30,BKHT,,-0.060606,-310.00000,-0.060606
17778,1980-07-31,BKHT,,0.129032,-350.00000,0.129032
17778,1980-08-29,BKHT,,0.100000,-385.00000,0.100000
17778,1980-09-30,BKHT,,0.019481,-392.50000,0.019481
17778,1980-10-31,BKHT,,0.076433,-422.50000,0.076433
17778,1980-11-28,BKHT,,0.047337,-442.50000,0.047337
17778,1980-12-31,BKHT,,-0.022599,-432.50000,-0.022599
17778,1981-01-30,BKHT,,0.017341,-440.00000,0.017341
17778,1981-02-27,BKHT,,0.119318,-492.50000,0.119318
17778,1981-03-31,BKHT,,-0.005076,-490.00000,-0.005076
17778,1981-04-30,BKHT,,0.071429,-525.00000,0.071429
17778,1981-05-29,BKHT,,0.009524,-530.00000,0.009524
17778,1981-06-30,BKHT,,-0.023585,-517.50000,-0.023585
17778,1981-07-31,BKHT,,-0.048309,-492.50000,-0.048309
17778,1981-08-31,BKHT,,0.000000,-492.50000,0.000000
17778,1981-09-30,BKHT,,-0.045685,-470.00000,-0.045685
17778,1981-10-30,BKHT,,0.095745,-515.00000,0.095745
17778,1981-11-30,BKHT,,0.145631,-590.00000,0.145631
17778,1981-12-31,BKHT,,-0.042373,-565.00000,-0.042373
17778,1982-01-29,BKHT,,-0.084071,-517.50000,-0.084071
17778,1982-02-26,BKHT,,0.009662,-522.50000,0.009662
17778,1982-03-31,BKHT,,-0.066986,-487.50000,-0.066986
17778,1982-04-30,BKHT,,0.061538,-517.50000,0.061538
17778,1982-05-28,BKHT,,-0.009662,-512.50000,-0.009662
17778,1982-06-30,BKHT,,-0.014634,-505.00000,-0.014634
17778,1982-07-30,BKHT,,-0.044554,-482.50000,-0.044554
17778,1982-08-31,BKHT,,0.020725,-492.50000,0.020725
17778,1982-09-30,BKHT,,0.131980,-557.50000,0.131980
17778,1982-10-29,BKHT,,0.116592,-622.50000,0.116592
17778,1982-11-30,BKHT,40,0.120482,-697.50000,0.120482
17778,1982-12-31,BKHT,,0.121864,-782.50000,0.121864
17778,1983-01-31,BKHT,35,-0.012780,-772.50000,-0.012780
17778,1983-02-28,BKHT,45,0.087379,-840.00000,0.087379
17778,1983-03-31,BKHT,52,0.160714,-975.00000,0.160714
17778,1983-04-29,BKHT,36,0.007692,-982.50000,0.007692
17778,1983-05-31,BKHT,29,0.012723,-995.00000,0.012723
17778,1983-06-30,BKHT,39,-0.075377,-920.00000,-0.075377
17778,1983-07-29,BKHT,34,0.040761,-957.50000,0.040761
17778,1983-08-31,BKHT,52,0.075718,-1030.00000,0.075718
17778,1983-09-30,BKHT,35,0.208738,1245.00000,0.208738
17778,1983-10-31,BKHT,21,0.052209,1310.00000,0.052209
17778,1983-11-30,BKHT,22,0.041985,-1365.00000,0.041985
17778,1983-12-30,BKHT,48,-0.029304,-1325.00000,-0.029304
17778,1984-01-31,BKHT,41,0.009434,-1337.50000,0.009434
17778,1984-02-29,BKHT,32,-0.033645,-1292.50000,-0.033645
17778,1984-03-30,BKHT,17,-0.030948,-1252.50000,-0.030948
17778,1984-04-30,BKHT,52,0.007984,-1262.50000,0.007984
17778,1984-05-31,BKHT,33,0.029703,-1300.00000,0.029703
17778,1984-06-29,BKHT,24,-0.019231,-1275.00000,-0.019231
17778,1984-07-31,BKHT,20,-0.017647,-1252.50000,-0.017647
17778,1984-08-31,BKHT,31,0.039920,-1302.50000,0.039920
17778,1984-09-28,BKHT,36,0.011516,-1317.50000,0.011516
17778,1984-10-31,BKHT,31,-0.003795,-1312.50000,-0.003795
17778,1984-11-30,BKHT,31,-0.015238,-1292.50000,-0.015238
17778,1984-12-31,BKHT,29,-0.003868,-1287.50000,-0.003868
17778,1985-01-31,BKHT,45,0.095146,-1410.00000,0.095146
17778,1985-02-28,BKHT,83,0.067376,-1505.00000,0.067376
17778,1985-03-29,BKHT,92,0.217608,-1832.50000,0.217608
17778,1985-04-30,BKHT,49,0.009550,1850.00000,0.009550
17778,1985-05-31,BKHT,59,0.005405,1860.00000,0.005405
17778,1985-06-28,BKHT,86,0.155914,2150.00000,0.155914
17778,1985-07-31,BKHT,64,-0.018605,2110.00000,-0.018605
17778,1985-08-30,BKHT,28,-0.033175,2040.00000,-0.033175
17778,1985-09-30,BKHT,46,0.014706,2070.00000,0.014706
17778,1985-10-31,BKHT,86,0.265700,2620.00000,0.265700
17778,1985-11-29,BKHT,48,0.001908,2625.00000,0.001908
17778,1985-12-31,BKHT,47,-0.059048,2470.00000,-0.059048
17778,1986-01-31,BKHT,64,-0.087045,2255.00000,-0.087045
17778,1986-02-28,BKHT,121,0.223947,2760.00000,0.223947
17778,1986-03-31,BKHT,73,0.130435,3120.00000,0.130435
17778,1986-04-30,BKHT,61,-0.067308,2910.00000,-0.067308
17778,1986-05-30,BKHT,55,-0.017182,2860.00000,-0.017182
17778,1986-06-30,BKHT,45,0.040210,2975.00000,0.040210
17778,1986-07-31,BKHT,49,-0.050420,2825.00000,-0.050420
