PERMNO,date,TICKER,VOL,RET,ALTPRC,RETX
12060,2004-09-30,GE,3605578,0.030192,33.58000,0.024093
12060,2004-10-29,GE,3197153,0.016081,34.12000,0.016081
12060,2004-11-30,GE,3638430,0.036342,35.36000,0.036342
12060,2004-12-31,GE,4010069,0.038462,36.50000,0.032240
12060,2005-01-31,GE,3832153,-0.010137,36.13000,-0.010137
12060,2005-02-28,GE,3148624,-0.019651,35.20000,-0.025740
12060,2005-03-31,GE,3966135,0.024432,36.06000,0.024432
12060,2005-04-29,GE,4312765,0.003882,36.20000,0.003882
12060,2005-05-31,GE,3392432,0.007735,36.48000,0.007735
12060,2005-06-30,GE,5025276,-0.044134,34.65000,-0.050164
12060,2005-07-29,GE,4355843,-0.004329,34.50000,-0.004329
12060,2005-08-31,GE,4137817,-0.025797,33.61000,-0.025797
12060,2005-09-30,GE,4584868,0.008331,33.67000,0.001785
12060,2005-10-31,GE,4737172,0.007128,33.91000,0.007128
12060,2005-11-30,GE,4428589,0.053377,35.72000,0.053377
12060,2005-12-30,GE,4559718,-0.011758,35.05000,-0.018757
12060,2006-01-31,GE,6593941,-0.065621,32.75000,-0.065621
12060,2006-02-28,GE,4843998,0.011298,32.87000,0.003664
12060,2006-03-31,GE,5734705,0.058108,34.78000,0.058108
12060,2006-04-28,GE,4774473,-0.005463,34.59000,-0.005463
12060,2006-05-31,GE,5022643,-0.009540,34.26000,-0.009540
12060,2006-06-30,GE,5743316,-0.030648,32.96000,-0.037945
12060,2006-07-31,GE,4753801,-0.008192,32.69000,-0.008192
12060,2006-08-31,GE,4070032,0.041909,34.06000,0.041909
12060,2006-09-29,GE,4604382,0.043746,35.30000,0.036406
12060,2006-10-31,GE,5573674,-0.005382,35.11000,-0.005382
12060,2006-11-30,GE,4617767,0.004842,35.28000,0.004842
12060,2006-12-29,GE,6473818,0.062642,37.21000,0.054705
12060,2007-01-31,GE,6507626,-0.031174,36.05000,-0.031174
12060,2007-02-28,GE,6068544,-0.023856,34.91000,-0.031623
12060,2007-03-30,GE,7928882,0.012890,35.36000,0.012890
12060,2007-04-30,GE,7846870,0.042421,36.86000,0.042421
12060,2007-05-31,GE,6700307,0.019533,37.58000,0.019533
12060,2007-06-29,GE,8802396,0.026078,38.28000,0.018627
12060,2007-07-31,GE,8745357,0.012539,38.76000,0.012539
12060,2007-08-31,GE,10424306,0.002838,38.87000,0.002838
12060,2007-09-28,GE,6813341,0.072292,41.40000,0.065089
12060,2007-10-31,GE,7229278,-0.005797,41.16000,-0.005797
12060,2007-11-30,GE,8942237,-0.069728,38.29000,-0.069728
12060,2007-12-31,GE,8348022,-0.023766,37.07000,-0.031862
12060,2008-01-31,GE,11035768,-0.046129,35.36000,-0.046129
12060,2008-02-29,GE,8479255,-0.054016,33.14000,-0.062783
12060,2008-03-31,GE,11589561,0.116777,37.01000,0.116777
12060,2008-04-30,GE,13783578,-0.116455,32.70000,-0.116455
12060,2008-05-30,GE,10598979,-0.060551,30.72000,-0.060551
12060,2008-06-30,GE,15017129,-0.121094,26.69000,-0.131185
12060,2008-07-31,GE,14840011,0.059948,28.29000,0.059948
12060,2008-08-29,GE,8686562,-0.006716,28.10000,-0.006716
12060,2008-09-30,GE,21484828,-0.081495,25.50000,-0.092527
12060,2008-10-31,GE,36958134,-0.234902,19.51000,-0.234902
12060,2008-11-28,GE,25050952,-0.119939,17.17000,-0.119939
12060,2008-12-31,GE,21129275,-0.038439,16.20000,-0.056494
12060,2009-01-30,GE,22469144,-0.251235,12.13000,-0.251235
12060,2009-02-27,GE,33831058,-0.272877,8.51000,-0.298434
12060,2009-03-31,GE,59733515,0.188014,10.11000,0.188014
12060,2009-04-30,GE,26900863,0.251236,12.65000,0.251236
12060,2009-05-29,GE,20066917,0.065613,13.48000,0.065613
12060,2009-06-30,GE,18320226,-0.123145,11.72000,-0.130564
12060,2009-07-31,GE,21077280,0.143345,13.40000,0.143345
12060,2009-08-31,GE,17497926,0.037313,13.90000,0.037313
12060,2009-09-30,GE,26611647,0.188489,16.42000,0.181295
12060,2009-10-30,GE,21363083,-0.131547,14.26000,-0.131547
12060,2009-11-30,GE,15384640,0.123422,16.02000,0.123422
12060,2009-12-31,GE,13294954,-0.049313,15.13000,-0.055556
